name,from,to,position,height,weight,birthday,url
"PASCOLO Davide",1900,3000,F,2.0300,198,"December 14, 1990",#
"FORRAY Toto",1900,3000,G,1.8700,183,"March 20, 1986",#
"MEZZANOTTE Andrea",1900,3000,F,2.0800,201,"April 8, 1998",#
"LADURNER Maximilian",1900,3000,G,1.9000,187,"December 6, 2001",#
"LECHTHALER Luca",1900,3000,C,2.0600,225,"January 23, 1986",#
"MIAN Fabio",1900,3000,G-F,1.9600,194,"February 7, 1992",#
"CRAFT Aaron",1900,3000,G,1.8800,187,"February 12, 1991",#
"VOLTOLINI Alessandro",1900,3000,G,1.9000,187,"December 29, 2001",#
"MARBLE Devyn",1900,3000,G-F,1.9800,201,"September 21, 1992",#
"FLACCADORI Diego",1900,3000,G,1.9300,176,"April 5, 1996",#
"GOMES Beto",1900,3000,F,2.0100,221,"May 2, 1985",#
"HOGUE Dustin",1900,3000,C,1.9800,221,"June 30, 1992",#
"JOVANOVIC Nikola",1900,3000,G-F,2.1100,240,"January 6, 1994",#
"RADICEVIC Nikola",1900,3000,G,1.9600,201,"April 25, 1994",#
"DONEDA Simone",1900,3000,F,1.9300,185,"October 6, 2001",#
"KITSING Kaspar",1900,3000,G,1.9000,187,"July 25, 2001",#
"FERRERO Giancarlo",1900,3000,F,1.9800,214,"August 29, 1988",#
"CAIN Tyler",1900,3000,C,2.0300,236,"June 30, 1988",#
"TAMBONE Matteo",1900,3000,G,1.9100,196,"May 14, 1994",#
"SALUMU Jean",1900,3000,G-F,1.9300,194,"July 26, 1990",#
"IANNUZZI Antonio",1900,3000,F,2.0800,234,"April 21, 1991",#
"NATALI Nicola",1900,3000,F,2.0200,209,"September 1, 1988",#
"ARCHIE Dominique",1900,3000,F,2.0100,225,"August 19, 1987",#
"AVRAMOVIC Aleksa",1900,3000,G,1.9200,185,"October 25, 1994",#
"GATTO Christian",1900,3000,G,1.9300,187,"December 10, 1996",#
"SCRUBB Thomas",1900,3000,F,1.9800,201,"September 26, 1991",#
"VERRI Damiano",1900,3000,F-C,2.0600,221,"December 20, 1985",#
"MOORE Ronald",1900,3000,G,1.8300,165,"July 14, 1988",#
"BERTONE Pablo",1900,3000,G,1.9300,198,"March 29, 1990",#
"BURNS Christian",1900,3000,F-C,2.0300,243,"September 4, 1985",#
"CINCIARINI Andrea",1900,3000,G,1.9300,187,"June 21, 1986",#
"BROOKS Jeff",1900,3000,F-C,2.0300,207,"June 12, 1989",#
"TARCZEWSKI Kaleb",1900,3000,C,2.1300,245,"February 26, 1993",#
"MICOV Vladimir",1900,3000,F,2.0300,221,"April 16, 1985",#
"FONTECCHIO Simone",1900,3000,F,2.0300,209,"December 9, 1995",#
"JERRELLS Curtis",1900,3000,G,1.8500,194,"February 5, 1987",#
"DELLA VALLE Amedeo",1900,3000,G,1.9400,194,"April 11, 1993",#
"GUDAITIS Arturas",1900,3000,C,2.1100,254,"June 19, 1993",#
"NEDOVIC Nemanja",1900,3000,G,1.9100,194,"June 16, 1991",#
"MUSUMECI Riccardo",1900,3000,G,1.9000,187,"April 26, 2002",#
"DE CAPITANI Francesco",1900,3000,G,1.9000,187,"September 18, 2002",#
"KUZMINSKAS Mindaugas",1900,3000,F,2.0500,223,"October 19, 1989",#
"NUNNALLY James",1900,3000,F,2.0100,198,"July 14, 1990",#
"OMIC Alen",1900,3000,C,2.1600,245,"May 6, 1992",#
"FERRARIS Federico Andrea",1900,3000,G,1.9000,187,"April 10, 2001",#
"JAMES Mike",1900,3000,G,1.8500,176,"August 18, 1990",#
"BERTANS Dairis",1900,3000,G,1.9300,181,"September 9, 1989",#
"D'AMBROSIO Angelillo",1900,3000,G,1.9000,187,"March 21, 2001",#
"MILESI Davide",1900,3000,G,1.9000,187,"March 22, 2002",#
"TOSI Federico",1900,3000,G,1.9000,187,"February 9, 2002",#
"BARBIERI Cristian",1900,3000,G,1.9000,187,"June 2, 2002",#
"LAZZARI Vittorio",1900,3000,G,1.9000,187,"January 11, 2001",#
"CASATI Federico",1900,3000,G,1.9000,187,"March 24, 2002",#
"RUZZIER Michele",1900,3000,G,1.8300,176,"February 9, 1993",#
"CRAWFORD Andrew",1900,3000,F,1.9600,209,"October 18, 1990",#
"RICCI Giampaolo",1900,3000,F,2.0100,227,"September 27, 1991",#
"SAUNDERS Wesley",1900,3000,G,1.9600,194,"June 16, 1993",#
"SANGUINETTI Giacomo",1900,3000,G,1.8100,185,"March 21, 1990",#
