date,team1,team1pts,team2,team2pts
2019-09-24,Pesaro,72,"Fortitudo Bologna",80
2019-09-25,Trentino,88,Pistoia,75
2019-09-25,"Virtus Bologna",74,Roma,67
2019-09-25,Brescia,90,"Reggio Emilia",82
2019-09-26,Venezia,78,Trieste,73
2019-09-26,Brindisi,64,Cantù,69
2019-09-26,Varese,52,Sassari,74
2019-09-26,Treviso,53,Milano,75
2019-09-28,"Reggio Emilia",76,Trentino,84
2019-09-29,Milano,65,Brescia,73
2019-09-29,Roma,63,Brindisi,87
2019-09-29,Sassari,99,Pesaro,79
2019-09-29,Pistoia,78,"Virtus Bologna",88
2019-09-29,"Fortitudo Bologna",89,Venezia,82
2019-09-29,Cremona,89,Treviso,87
2019-09-29,Trieste,62,Varese,92
2019-10-05,Trentino,73,Sassari,76
2019-10-05,Brindisi,88,Brescia,78
2019-10-06,Milano,88,Trieste,73
2019-10-06,Roma,97,Cremona,94
2019-10-06,Varese,83,"Fortitudo Bologna",60
2019-10-06,Cantù,75,"Reggio Emilia",92
2019-10-06,Treviso,87,Pistoia,72
2019-10-06,"Virtus Bologna",75,Venezia,70
2019-10-12,Pistoia,67,Roma,81
2019-10-13,Sassari,59,Trieste,65
2019-10-13,Venezia,76,Cantù,46
2019-10-13,Milano,89,Brindisi,92
2019-10-13,Brescia,92,Trentino,66
2019-10-13,"Reggio Emilia",85,Cremona,71
2019-10-13,Pesaro,79,"Virtus Bologna",94
2019-10-13,"Fortitudo Bologna",77,Treviso,69
2019-10-19,"Virtus Bologna",87,Varese,80
2019-10-19,Trieste,76,Brescia,74
2019-10-19,Treviso,90,Venezia,79
2019-10-20,Cremona,82,Milano,78
2019-10-20,Roma,79,"Fortitudo Bologna",65
2019-10-20,Cantù,78,Trentino,72
2019-10-20,"Reggio Emilia",84,Pistoia,72
2019-10-20,Brindisi,108,Pesaro,99
2019-10-26,Trentino,76,Treviso,71
2019-10-26,Brescia,80,"Virtus Bologna",82
2019-10-26,Venezia,67,Cremona,55
2019-10-27,Roma,73,Milano,79
2019-10-27,Varese,102,Brindisi,78
2019-10-27,Pesaro,65,"Reggio Emilia",90
2019-10-27,"Fortitudo Bologna",82,Pistoia,71
2019-10-27,Cantù,70,Sassari,87
2019-11-02,Sassari,108,Roma,72
2019-11-03,Brindisi,75,Venezia,71
2019-11-03,"Reggio Emilia",59,"Virtus Bologna",79
2019-11-03,Milano,93,Varese,69
2019-11-03,Pistoia,76,Trieste,72
2019-11-03,Treviso,85,Pesaro,75
2019-11-03,"Fortitudo Bologna",74,Brescia,88
2019-11-03,Cremona,54,Cantù,78
2019-11-09,Pesaro,95,Trentino,101
2019-11-10,Brescia,91,Varese,74
2019-11-10,Cantù,74,Roma,76
2019-11-10,Trieste,72,Brindisi,80
2019-11-10,"Virtus Bologna",84,Treviso,79
2019-11-10,Cremona,80,"Fortitudo Bologna",73
2019-11-10,Venezia,55,Sassari,54
2019-11-11,Milano,83,Pistoia,63
2019-11-16,Sassari,100,"Reggio Emilia",81
2019-11-17,Trentino,79,Cremona,89
2019-11-17,Varese,93,Venezia,91
2019-11-17,Treviso,72,Brescia,68
2019-11-17,Trieste,85,"Virtus Bologna",89
2019-11-17,"Fortitudo Bologna",85,Milano,80
2019-11-17,Pistoia,77,Cantù,69
2019-11-17,Roma,92,Pesaro,83
2019-11-23,"Reggio Emilia",81,Varese,74
2019-11-24,Milano,90,Sassari,78
2019-11-24,Cremona,88,Trieste,78
