Date,Team Model,Center Model,Forward Model,Guard Model,Num of Test Case,Num of Reject,Num of Correct,Num of Incorrect,Accuracy
2021-01-04,SSGPR-D55381,SSGPR-B64717,SSGPR-B64678,SSGPR-A43668,238,0,210,28,0.8823529411764706
2021-01-04,SSGPR-A55125,SSGPR-B64717,SSGPR-A64678,SSGPR-E43668,238,0,210,28,0.8823529411764706
2021-01-04,SSGPR-E56661,SSGPR-A1229,SSGPR-C1190,SSGPR-F45204,238,0,210,28,0.8823529411764706
2021-01-04,SSGPR-E56917,SSGPR-A1229,SSGPR-E1190,SSGPR-C45204,238,0,210,28,0.8823529411764706
